feature_id,source_file,module,domain,public_functions,classes,function_count,class_count,command_ids,classification,evidence_level
COMFY-CLI-MODULE-21CAE889F69C,comfy_cli/__init__.py,comfy_cli.__init__,core service,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-CA5C52DB151B,comfy_cli/__main__.py,comfy_cli.__main__,core service,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-F77B971EAC80,comfy_cli/auth/__init__.py,comfy_cli.auth.__init__,cloud and authentication,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-9297095F8E24,comfy_cli/auth/command.py,comfy_cli.auth.command,cloud and authentication,list_cmd | set_cmd | remove_cmd,,4,0,COMFY-CLI-CMD-F1AC21FF9BEE | COMFY-CLI-CMD-9AFC11A36497 | COMFY-CLI-CMD-42B79C5307CE,production module,code-inferred
COMFY-CLI-MODULE-EE08CF615A25,comfy_cli/auth/store.py,comfy_cli.auth.store,cloud and authentication,secrets_path | lock_path | list_records | get | set | remove | known_providers | get_cloud_session | save_cloud_session | clear_cloud_session,AuthRecord | CloudSession,17,2,,production module,code-inferred
COMFY-CLI-MODULE-85738B6DE42D,comfy_cli/caller.py,comfy_cli.caller,core service,detect_caller,Caller,2,1,,production module,code-inferred
COMFY-CLI-MODULE-F0ECA906CC48,comfy_cli/cancellation.py,comfy_cli.cancellation,core service,get_token | install_sigint_handler | reset_for_testing,CancellationToken,8,1,,production module,code-inferred
COMFY-CLI-MODULE-2D76CAFD0704,comfy_cli/cloud/__init__.py,comfy_cli.cloud.__init__,cloud and authentication,get_base_url | get_resource_url | get_scopes,,6,0,,production module,code-inferred
COMFY-CLI-MODULE-3F6468B9DB59,comfy_cli/cloud/command.py,comfy_cli.cloud.command,cloud and authentication,login_cmd | logout_cmd | whoami_cmd | set_base_url_cmd | set_key_cmd,,7,0,COMFY-CLI-CMD-8E7E3F798F2B | COMFY-CLI-CMD-CF789F04E419 | COMFY-CLI-CMD-F3634696BF8E | COMFY-CLI-CMD-446049474154 | COMFY-CLI-CMD-E55798460994,production module,code-inferred
COMFY-CLI-MODULE-F8B5C83CA78A,comfy_cli/cloud/oauth.py,comfy_cli.cloud.oauth,cloud and authentication,generate_pkce_pair | generate_state | register_client | run_login | exchange_code | refresh_tokens | take_last_fatal_refresh_reason | ensure_fresh_session,OAuthError | OAuthRegisterError | OAuthAuthorizeError | OAuthTokenError | OAuthRefreshError | OAuthCancelled | OAuthTimeout | RegisteredClient | _CallbackCapture | TokenSet | LoginResult | _HTTPFail,28,13,,production module,code-inferred
