key,locales_present,locale_count,reference_hint,availability,feature_id,source,evidence_level
_label,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.checkForUpdate,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.connect,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.connecting,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyInstallation,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyInstallationConfirm,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyInstallationMessage,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyInstallationTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyingFiles,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.copyingInstallation,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.delete,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.deleteConfirmDetail,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.deleteConfirmMessage,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
