record_id,path,node_candidate,layout,registry_match_kind,corroboration_status,corroborated_feature_ids,embedded_doc_record_ids,evidence_level
COMFY-DOC-NODE-D0E80DA7434F,built-in-nodes/APG.mdx,APG,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0007,COMFY-EMBEDDOC-B386E498BBD7,documented-only
COMFY-DOC-NODE-7DAF295980B2,built-in-nodes/ARVideoI2V.mdx,ARVideoI2V,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0008,COMFY-EMBEDDOC-3634B0A45684,documented-only
COMFY-DOC-NODE-AFB4DE7F6BA4,built-in-nodes/AddNoise.mdx,AddNoise,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0001,COMFY-EMBEDDOC-B1A6246D7202,documented-only
COMFY-DOC-NODE-0BACB08230F3,built-in-nodes/AddTextPrefix.mdx,AddTextPrefix,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0002,COMFY-EMBEDDOC-8A7499E81065,documented-only
COMFY-DOC-NODE-98C332C86BEF,built-in-nodes/AddTextSuffix.mdx,AddTextSuffix,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0003,COMFY-EMBEDDOC-9E56757F2C67,documented-only
COMFY-DOC-NODE-008E818C3FCA,built-in-nodes/AdjustBrightness.mdx,AdjustBrightness,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0004,COMFY-EMBEDDOC-B9C69BAD3FD7,documented-only
COMFY-DOC-NODE-91A016FD5B7C,built-in-nodes/AdjustContrast.mdx,AdjustContrast,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0005,COMFY-EMBEDDOC-6CE01C2C8092,documented-only
COMFY-DOC-NODE-523D20E6B6A7,built-in-nodes/AlignYourStepsScheduler.mdx,AlignYourStepsScheduler,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0006,COMFY-EMBEDDOC-860D80BAB451,documented-only
COMFY-DOC-NODE-65DE7DF91A1B,built-in-nodes/AudioAdjustVolume.mdx,AudioAdjustVolume,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0009,COMFY-EMBEDDOC-AA9BE571D813,documented-only
COMFY-DOC-NODE-0F41D6DD541E,built-in-nodes/AudioConcat.mdx,AudioConcat,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0010,COMFY-EMBEDDOC-2C3056485CA7,documented-only
COMFY-DOC-NODE-D2828AC01E62,built-in-nodes/AudioEncoderEncode.mdx,AudioEncoderEncode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0011,COMFY-EMBEDDOC-54857D9E3F71,documented-only
COMFY-DOC-NODE-871B5D246536,built-in-nodes/AudioEncoderLoader.mdx,AudioEncoderLoader,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0012,COMFY-EMBEDDOC-742527B7223C,documented-only
COMFY-DOC-NODE-2E6065591CA3,built-in-nodes/AudioEqualizer3Band.mdx,AudioEqualizer3Band,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0013,COMFY-EMBEDDOC-45F7F3EDD8E3,documented-only
COMFY-DOC-NODE-090A5E4FF58C,built-in-nodes/AudioMerge.mdx,AudioMerge,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0014,COMFY-EMBEDDOC-AFFADD2B339D,documented-only
COMFY-DOC-NODE-E2CF5951E866,built-in-nodes/AutogrowNamesTestNode.mdx,AutogrowNamesTestNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-INACTIVE-0001,COMFY-EMBEDDOC-B8086D432BC9,documented-only
COMFY-DOC-NODE-70DD002D1E9F,built-in-nodes/AutogrowPrefixTestNode.mdx,AutogrowPrefixTestNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-INACTIVE-0002,COMFY-EMBEDDOC-3EEFD166D46C,documented-only
COMFY-DOC-NODE-49D0E63EAF05,built-in-nodes/BasicGuider.mdx,BasicGuider,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0015,COMFY-EMBEDDOC-58DAF259E223,documented-only
COMFY-DOC-NODE-9FB4E93785AF,built-in-nodes/BasicScheduler.mdx,BasicScheduler,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0016,COMFY-EMBEDDOC-394F57874D35,documented-only
COMFY-DOC-NODE-F62F316D33C0,built-in-nodes/BatchImagesMasksLatentsNode.mdx,BatchImagesMasksLatentsNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-INACTIVE-0003,COMFY-EMBEDDOC-C6071C607492,documented-only
COMFY-DOC-NODE-489096472F25,built-in-nodes/BatchImagesNode.mdx,BatchImagesNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0017,COMFY-EMBEDDOC-ABB4DDED5D4B,documented-only
COMFY-DOC-NODE-DD059E12F3B0,built-in-nodes/BatchLatentsNode.mdx,BatchLatentsNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0018,COMFY-EMBEDDOC-0B5B62EA3D35,documented-only
COMFY-DOC-NODE-5CA70A4A1E9D,built-in-nodes/BatchMasksNode.mdx,BatchMasksNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0019,COMFY-EMBEDDOC-A3EF7C8D5F41,documented-only
COMFY-DOC-NODE-C85886641CA5,built-in-nodes/BeebleSwitchXImageEdit.mdx,BeebleSwitchXImageEdit,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0020,COMFY-EMBEDDOC-14E1AA0C143D,documented-only
COMFY-DOC-NODE-01E7D0C9428B,built-in-nodes/BeebleSwitchXVideoEdit.mdx,BeebleSwitchXVideoEdit,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0021,COMFY-EMBEDDOC-3D47AFB2F30B,documented-only
COMFY-DOC-NODE-DED2F8872905,built-in-nodes/BerniniConditioning.mdx,BerniniConditioning,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0022,COMFY-EMBEDDOC-F012232A6EC5,documented-only
COMFY-DOC-NODE-5DF6805C1145,built-in-nodes/BetaSamplingScheduler.mdx,BetaSamplingScheduler,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0023,COMFY-EMBEDDOC-80EB39A74130,documented-only
COMFY-DOC-NODE-5F1426D04CFC,built-in-nodes/BriaImageEditNode.mdx,BriaImageEditNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0024,COMFY-EMBEDDOC-A61C25C2D39F,documented-only
COMFY-DOC-NODE-B95824F61402,built-in-nodes/BriaRemoveImageBackground.mdx,BriaRemoveImageBackground,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0025,COMFY-EMBEDDOC-EE87179B1923,documented-only
COMFY-DOC-NODE-04D735148C4B,built-in-nodes/BriaRemoveVideoBackground.mdx,BriaRemoveVideoBackground,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0026,COMFY-EMBEDDOC-3AEA2EF38132,documented-only
COMFY-DOC-NODE-CAF738B856DF,built-in-nodes/BriaTransparentVideoBackground.mdx,BriaTransparentVideoBackground,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0027,COMFY-EMBEDDOC-9984F5E46A49,documented-only
COMFY-DOC-NODE-B76F481BC4DB,built-in-nodes/BriaVideoGreenScreen.mdx,BriaVideoGreenScreen,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0028,COMFY-EMBEDDOC-A1CDE429C8E6,documented-only
COMFY-DOC-NODE-AA6F23CA91C4,built-in-nodes/BriaVideoReplaceBackground.mdx,BriaVideoReplaceBackground,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0029,COMFY-EMBEDDOC-96B3CBFE1F31,documented-only
COMFY-DOC-NODE-649104DB031A,built-in-nodes/BuildJsonPromptIdeogram.mdx,BuildJsonPromptIdeogram,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0030,COMFY-EMBEDDOC-ACFD9F3CF53A,documented-only
COMFY-DOC-NODE-6B79D5060ADE,built-in-nodes/ByteDance2FirstLastFrameNode.mdx,ByteDance2FirstLastFrameNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0031,COMFY-EMBEDDOC-86F9FC6D18CD,documented-only
COMFY-DOC-NODE-9578C98D9DE5,built-in-nodes/ByteDance2ReferenceNode.mdx,ByteDance2ReferenceNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0032,COMFY-EMBEDDOC-8FFC3A2C55F4,documented-only
COMFY-DOC-NODE-F60BB10D841C,built-in-nodes/ByteDance2TextToVideoNode.mdx,ByteDance2TextToVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0033,COMFY-EMBEDDOC-347F9CEB6688,documented-only
COMFY-DOC-NODE-ED01A55A44AF,built-in-nodes/ByteDanceCreateImageAsset.mdx,ByteDanceCreateImageAsset,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0034,COMFY-EMBEDDOC-DF890A44EB96,documented-only
COMFY-DOC-NODE-171855444CD9,built-in-nodes/ByteDanceCreateVideoAsset.mdx,ByteDanceCreateVideoAsset,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0035,COMFY-EMBEDDOC-E0FB6B0C86E6,documented-only
COMFY-DOC-NODE-A2C593259D02,built-in-nodes/ByteDanceFirstLastFrameNode.mdx,ByteDanceFirstLastFrameNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0036,COMFY-EMBEDDOC-DCE6540110FE,documented-only
COMFY-DOC-NODE-D6480C4D76DC,built-in-nodes/ByteDanceImageEditNode.mdx,ByteDanceImageEditNode,top-level-synced-or-node,provider-unverified,documented-only,,COMFY-EMBEDDOC-710A5C002C84,documented-only
COMFY-DOC-NODE-C4870919B029,built-in-nodes/ByteDanceImageNode.mdx,ByteDanceImageNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0037,COMFY-EMBEDDOC-62D839F07B01,documented-only
COMFY-DOC-NODE-708B751EBFEA,built-in-nodes/ByteDanceImageReferenceNode.mdx,ByteDanceImageReferenceNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0038,COMFY-EMBEDDOC-984FB65C3A51,documented-only
COMFY-DOC-NODE-BF2FCDC7F87F,built-in-nodes/ByteDanceImageToVideoNode.mdx,ByteDanceImageToVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0039,COMFY-EMBEDDOC-CFA8A5B8FF9C,documented-only
COMFY-DOC-NODE-75152C3F8624,built-in-nodes/ByteDanceSeedAudio.mdx,ByteDanceSeedAudio,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0040,COMFY-EMBEDDOC-1D02C7BE8254,documented-only
