record_id,source,destination,evidence_level,availability
COMFY-DOC-REDIRECT-F760B66BD1B1,/development/cloud/mcp-server,/agent-tools/cloud,code-inferred,documentation-site
COMFY-DOC-REDIRECT-E2F50C0DEDB0,/development/mcp/index,/agent-tools,code-inferred,documentation-site
COMFY-DOC-REDIRECT-D5E7DC872CA6,/development/mcp/partner-mcp,/agent-tools/partner-mcp,code-inferred,documentation-site
COMFY-DOC-REDIRECT-18231E3A42B4,/zh/development/cloud/mcp-server,/zh/agent-tools/cloud,code-inferred,documentation-site
COMFY-DOC-REDIRECT-34723CE9F082,/zh/development/mcp/index,/zh/agent-tools,code-inferred,documentation-site
COMFY-DOC-REDIRECT-29A29D4229C0,/zh/development/mcp/partner-mcp,/zh/agent-tools/partner-mcp,code-inferred,documentation-site
COMFY-DOC-REDIRECT-F358677C6014,/ja/development/cloud/mcp-server,/ja/agent-tools/cloud,code-inferred,documentation-site
COMFY-DOC-REDIRECT-75A5E55B50F8,/ja/development/mcp/index,/ja/agent-tools,code-inferred,documentation-site
COMFY-DOC-REDIRECT-75ACD118EBEE,/ja/development/mcp/partner-mcp,/ja/agent-tools/partner-mcp,code-inferred,documentation-site
COMFY-DOC-REDIRECT-FF92112B8CC5,/get_started/manual_install,/installation/manual_install,code-inferred,documentation-site
COMFY-DOC-REDIRECT-6CFC6EC46A25,/get_started/pre_package,/installation/comfyui_portable_windows,code-inferred,documentation-site
COMFY-DOC-REDIRECT-FA92835DC640,/get_started/gettingstarted,/get_started/first_generation,code-inferred,documentation-site
COMFY-DOC-REDIRECT-072618F94EA7,/development/shortcuts,/interface/shortcuts,code-inferred,documentation-site
COMFY-DOC-REDIRECT-21F43108DAE6,/zh-CN/get_started/gettingstarted,/zh/get_started/first_generation,code-inferred,documentation-site
COMFY-DOC-REDIRECT-3A8D171AC2C5,/advanced/ltxv,/tutorials/video/ltxv,code-inferred,documentation-site
COMFY-DOC-REDIRECT-E4BA4BDDA6D6,/advanced/hunyuan-video,/tutorials/video/hunyuan/hunyuan-video,code-inferred,documentation-site
COMFY-DOC-REDIRECT-FD77E73E4167,/zh-CN/advanced/ltxv,/zh/tutorials/video/ltxv,code-inferred,documentation-site
COMFY-DOC-REDIRECT-7B4849EA4472,/zh-CN/advanced/hunyuan-video,/zh/tutorials/video/hunyuan/hunyuan-video,code-inferred,documentation-site
COMFY-DOC-REDIRECT-67F1CEC1BA4B,/zh-CN/tutorials/advanced/hidream,/zh/tutorials/image/hidream/hidream-i1,code-inferred,documentation-site
COMFY-DOC-REDIRECT-89CAA6670B10,/zh-CN/tutorials/advanced/hidream-e1,/zh/tutorials/image/hidream/hidream-e1,code-inferred,documentation-site
COMFY-DOC-REDIRECT-64BBEF450512,/tutorials/advanced/hidream,/tutorials/image/hidream/hidream-i1,code-inferred,documentation-site
COMFY-DOC-REDIRECT-C1AA7C990B4F,/tutorials/advanced/hidream-e1,/tutorials/image/hidream/hidream-e1,code-inferred,documentation-site
COMFY-DOC-REDIRECT-9D29D6165F1B,/troubleshooting,/troubleshooting/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-7D18F5A5F332,/tutorials/api-nodes/:slug*,/tutorials/partner-nodes/:slug*,code-inferred,documentation-site
COMFY-DOC-REDIRECT-D6EFE3F839B6,/zh-CN/tutorials/api-nodes/:slug*,/zh/tutorials/partner-nodes/:slug*,code-inferred,documentation-site
COMFY-DOC-REDIRECT-E62D09A60AAE,/built-in-nodes/api-nodes/:slug*,/built-in-nodes/partner-node/:slug*,code-inferred,documentation-site
COMFY-DOC-REDIRECT-8F2968E954B2,/zh-CN/built-in-nodes/api-nodes/:slug*,/zh/built-in-nodes/partner-node/:slug*,code-inferred,documentation-site
COMFY-DOC-REDIRECT-DB2B58F03535,/tutorials/video/hunyuan-video,/tutorials/video/hunyuan/hunyuan-video,code-inferred,documentation-site
COMFY-DOC-REDIRECT-9AE33A52ECAE,/zh-CN/tutorials/video/hunyuan-video,/zh/tutorials/video/hunyuan/hunyuan-video,code-inferred,documentation-site
COMFY-DOC-REDIRECT-A5825C9D52E2,/custom-nodes/backend/subgraphs,/custom-nodes/backend/expansion,code-inferred,documentation-site
COMFY-DOC-REDIRECT-E77D0F08DA5E,/zh-CN/custom-nodes/backend/subgraphs,/zh/custom-nodes/backend/expansion,code-inferred,documentation-site
COMFY-DOC-REDIRECT-74D50777C7BA,/zh-CN/:slug*,/zh/:slug*,code-inferred,documentation-site
COMFY-DOC-REDIRECT-A8D2C07EEC54,/interface/settings/comfy-desktop,/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-EAA467D91FF4,/interface/settings/server-config,/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-568C156341BD,/zh/interface/settings/comfy-desktop,/zh/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-A21E7A9BD1ED,/zh/interface/settings/server-config,/zh/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-2C1953243FAE,/ja/interface/settings/comfy-desktop,/ja/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-95B3155D153D,/ja/interface/settings/server-config,/ja/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-016BF675D10A,/ko/interface/settings/comfy-desktop,/ko/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-7C56AEF73A2E,/ko/interface/settings/server-config,/ko/installation/desktop/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-91FC02D1387D,/built-in-nodes/partner-node/image/ideogram/ideogram-v3,/tutorials/partner-nodes/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-5EB80FC253CB,/built-in-nodes/partner-node/image/stability-ai/stability-ai-stable-diffusion-3-5-image,/tutorials/partner-nodes/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-322CF42FDFF4,/built-in-nodes/partner-node/image/stability-ai/stability-ai-stable-image-ultra,/tutorials/partner-nodes/overview,code-inferred,documentation-site
COMFY-DOC-REDIRECT-F23DA9817058,/tutorials/partner-nodes/ideogram/ideogram-v3,/tutorials/partner-nodes/overview,code-inferred,documentation-site
