feature_id,setting_id,label,schema_type,ui_type,default_expression,version_added,availability,source_file,line,localized_en,test
COMFY-SETTING-018,Comfy-Desktop.AutoUpdate,Automatically check for updates,z.boolean(),boolean,true,,platform-specific,src/extensions/core/electronAdapter.ts,33,yes,
COMFY-SETTING-019,Comfy-Desktop.SendStatistics,Send anonymous usage metrics,z.boolean(),boolean,true,,platform-specific,src/extensions/core/electronAdapter.ts,41,yes,
COMFY-SETTING-020,Comfy-Desktop.UV.PypiInstallMirror,Pypi Install Mirror,z.string(),url,'',,platform-specific,src/extensions/core/electronAdapter.ts,81,yes,
COMFY-SETTING-021,Comfy-Desktop.UV.PythonInstallMirror,Python Install Mirror,z.string(),url,'',,platform-specific,src/extensions/core/electronAdapter.ts,67,yes,
COMFY-SETTING-022,Comfy-Desktop.UV.TorchInstallMirror,Torch Install Mirror,z.string(),url,'',,platform-specific,src/extensions/core/electronAdapter.ts,91,yes,
COMFY-SETTING-023,Comfy-Desktop.WindowStyle,Window Style,z.string(),combo,'default',,experimental,src/extensions/core/electronAdapter.ts,49,yes,
COMFY-WORKFLOW-057,Comfy.AppBuilder.VueNodeSwitchDismissed,Comfy.AppBuilder.VueNodeSwitchDismissed,z.boolean(),hidden,false,,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1205,no,src/stores/appModeStore.test.ts
COMFY-SETTING-024,Comfy.Appearance.DisableAnimations,Disable animations,z.boolean(),boolean,window.matchMedia('(prefers-reduced-motion: reduce)').matches,1.43.0,active,src/platform/settings/constants/coreSettings.ts,595,yes,
COMFY-ASSET-038,Comfy.Assets.UseAssetAPI,Comfy.Assets.UseAssetAPI,z.boolean(),hidden,isCloud ? true : false,,experimental,src/platform/settings/constants/coreSettings.ts,1211,no,src/stores/modelStore.test.ts
COMFY-ASSET-039,Comfy.Canvas.BackgroundImage,Canvas background image,z.string().optional(),backgroundImage,'',1.20.4,active,src/platform/settings/constants/coreSettings.ts,1130,yes,
COMFY-GRAPH-026,Comfy.Canvas.LeftMouseClickBehavior,Left Mouse Click Behavior,z.string(),radio,'panning',1.27.4,active,src/platform/settings/constants/coreSettings.ts,202,yes,
COMFY-GRAPH-027,Comfy.Canvas.MouseWheelScroll,Mouse Wheel Scroll,z.string(),radio,'zoom',1.27.4,active,src/platform/settings/constants/coreSettings.ts,233,yes,
COMFY-GRAPH-028,Comfy.Canvas.NavigationMode,Navigation Mode,z.string(),combo,'legacy',1.25.0,active,src/platform/settings/constants/coreSettings.ts,167,yes,
COMFY-GRAPH-029,Comfy.Canvas.SelectionToolbox,Show selection toolbox,z.boolean(),boolean,true,1.10.5,active,src/platform/settings/constants/coreSettings.ts,1027,yes,
